dt_referencia,nr_ano,nr_mes,desc_nome_mes,desc_nome_mes_curto,nr_dia,desc_dia_semana,desc_dia_semana_curto,nr_dia_semana_iso,desc_ano_mes,desc_trimestre,desc_ano_trimestre,nr_semana_ano,dt_inicio_mes,dt_inicio_semana,nr_dia_semana_visual
2015-01-01,2015,1,Janeiro,Jan,1,Quinta-Feira,Qui,4,2015-01,T1,2015-T1,1,2015-01-01,2014-12-29,5
2015-01-02,2015,1,Janeiro,Jan,2,Sexta-Feira,Sex,5,2015-01,T1,2015-T1,1,2015-01-01,2014-12-29,6
2015-01-03,2015,1,Janeiro,Jan,3,Sábado,Sab,6,2015-01,T1,2015-T1,1,2015-01-01,2014-12-29,7
2015-01-04,2015,1,Janeiro,Jan,4,Domingo,Dom,7,2015-01,T1,2015-T1,1,2015-01-01,2014-12-29,1
2015-01-05,2015,1,Janeiro,Jan,5,Segunda-Feira,Seg,1,2015-01,T1,2015-T1,2,2015-01-01,2015-01-05,2
2015-01-06,2015,1,Janeiro,Jan,6,Terça-Feira,Ter,2,2015-01,T1,2015-T1,2,2015-01-01,2015-01-05,3
2015-01-07,2015,1,Janeiro,Jan,7,Quarta-Feira,Qua,3,2015-01,T1,2015-T1,2,2015-01-01,2015-01-05,4
2015-01-08,2015,1,Janeiro,Jan,8,Quinta-Feira,Qui,4,2015-01,T1,2015-T1,2,2015-01-01,2015-01-05,5
2015-01-09,2015,1,Janeiro,Jan,9,Sexta-Feira,Sex,5,2015-01,T1,2015-T1,2,2015-01-01,2015-01-05,6
2015-01-10,2015,1,Janeiro,Jan,10,Sábado,Sab,6,2015-01,T1,2015-T1,2,2015-01-01,2015-01-05,7
2015-01-11,2015,1,Janeiro,Jan,11,Domingo,Dom,7,2015-01,T1,2015-T1,2,2015-01-01,2015-01-05,1
2015-01-12,2015,1,Janeiro,Jan,12,Segunda-Feira,Seg,1,2015-01,T1,2015-T1,3,2015-01-01,2015-01-12,2
2015-01-13,2015,1,Janeiro,Jan,13,Terça-Feira,Ter,2,2015-01,T1,2015-T1,3,2015-01-01,2015-01-12,3
2015-01-14,2015,1,Janeiro,Jan,14,Quarta-Feira,Qua,3,2015-01,T1,2015-T1,3,2015-01-01,2015-01-12,4
2015-01-15,2015,1,Janeiro,Jan,15,Quinta-Feira,Qui,4,2015-01,T1,2015-T1,3,2015-01-01,2015-01-12,5
2015-01-16,2015,1,Janeiro,Jan,16,Sexta-Feira,Sex,5,2015-01,T1,2015-T1,3,2015-01-01,2015-01-12,6
2015-01-17,2015,1,Janeiro,Jan,17,Sábado,Sab,6,2015-01,T1,2015-T1,3,2015-01-01,2015-01-12,7
2015-01-18,2015,1,Janeiro,Jan,18,Domingo,Dom,7,2015-01,T1,2015-T1,3,2015-01-01,2015-01-12,1
2015-01-19,2015,1,Janeiro,Jan,19,Segunda-Feira,Seg,1,2015-01,T1,2015-T1,4,2015-01-01,2015-01-19,2
2015-01-20,2015,1,Janeiro,Jan,20,Terça-Feira,Ter,2,2015-01,T1,2015-T1,4,2015-01-01,2015-01-19,3
2015-01-21,2015,1,Janeiro,Jan,21,Quarta-Feira,Qua,3,2015-01,T1,2015-T1,4,2015-01-01,2015-01-19,4
2015-01-22,2015,1,Janeiro,Jan,22,Quinta-Feira,Qui,4,2015-01,T1,2015-T1,4,2015-01-01,2015-01-19,5
2015-01-23,2015,1,Janeiro,Jan,23,Sexta-Feira,Sex,5,2015-01,T1,2015-T1,4,2015-01-01,2015-01-19,6
2015-01-24,2015,1,Janeiro,Jan,24,Sábado,Sab,6,2015-01,T1,2015-T1,4,2015-01-01,2015-01-19,7
2015-01-25,2015,1,Janeiro,Jan,25,Domingo,Dom,7,2015-01,T1,2015-T1,4,2015-01-01,2015-01-19,1
2015-01-26,2015,1,Janeiro,Jan,26,Segunda-Feira,Seg,1,2015-01,T1,2015-T1,5,2015-01-01,2015-01-26,2
2015-01-27,2015,1,Janeiro,Jan,27,Terça-Feira,Ter,2,2015-01,T1,2015-T1,5,2015-01-01,2015-01-26,3
2015-01-28,2015,1,Janeiro,Jan,28,Quarta-Feira,Qua,3,2015-01,T1,2015-T1,5,2015-01-01,2015-01-26,4
2015-01-29,2015,1,Janeiro,Jan,29,Quinta-Feira,Qui,4,2015-01,T1,2015-T1,5,2015-01-01,2015-01-26,5
2015-01-30,2015,1,Janeiro,Jan,30,Sexta-Feira,Sex,5,2015-01,T1,2015-T1,5,2015-01-01,2015-01-26,6
2015-01-31,2015,1,Janeiro,Jan,31,Sábado,Sab,6,2015-01,T1,2015-T1,5,2015-01-01,2015-01-26,7
2015-02-01,2015,2,Fevereiro,Fev,1,Domingo,Dom,7,2015-02,T1,2015-T1,5,2015-02-01,2015-01-26,1
2015-02-02,2015,2,Fevereiro,Fev,2,Segunda-Feira,Seg,1,2015-02,T1,2015-T1,6,2015-02-01,2015-02-02,2
2015-02-03,2015,2,Fevereiro,Fev,3,Terça-Feira,Ter,2,2015-02,T1,2015-T1,6,2015-02-01,2015-02-02,3
2015-02-04,2015,2,Fevereiro,Fev,4,Quarta-Feira,Qua,3,2015-02,T1,2015-T1,6,2015-02-01,2015-02-02,4
2015-02-05,2015,2,Fevereiro,Fev,5,Quinta-Feira,Qui,4,2015-02,T1,2015-T1,6,2015-02-01,2015-02-02,5
2015-02-06,2015,2,Fevereiro,Fev,6,Sexta-Feira,Sex,5,2015-02,T1,2015-T1,6,2015-02-01,2015-02-02,6
2015-02-07,2015,2,Fevereiro,Fev,7,Sábado,Sab,6,2015-02,T1,2015-T1,6,2015-02-01,2015-02-02,7
